211 íl 987 Ç∏ÇÍ 0 {'time': 0, 'add': 0, 'value': 0} 120.8ïb []
212 íl 42 Ç∏ÇÍ 0 {'time': 0, 'add': 0, 'value': 0} 49.1ïb []
213 íl 64 Ç∏ÇÍ 0 {'time': 0, 'add': 0, 'value': 0} 157.5ïb []
214 íl 71 Ç∏ÇÍ 0 {'time': 0, 'add': 0, 'value': 0} 15.9ïb []
216 íl 83 Ç∏ÇÍ 0 {'time': 0, 'add': 0, 'value': 0} 28.5ïb []
217 íl 73 Ç∏ÇÍ 0 {'time': 0, 'add': 0, 'value': 0} 147.4ïb []
218 íl 141 Ç∏ÇÍ 98 {'time': 0, 'add': 5, 'value': 93} 133.5ïb []
219 íl 37 Ç∏ÇÍ 6 {'time': 0, 'add': 0, 'value': 6} 59.9ïb []
220 íl 1720 Ç∏ÇÍ 0 {'time': 0, 'add': 0, 'value': 0} 44.1ïb []
221 íl 40 Ç∏ÇÍ 0 {'time': 0, 'add': 0, 'value': 0} 52.7ïb []
222 íl 70 Ç∏ÇÍ 0 {'time': 0, 'add': 0, 'value': 0} 731.1ïb []
223 íl 68 Ç∏ÇÍ 0 {'time': 0, 'add': 0, 'value': 0} 6.7ïb []
224 íl 91 Ç∏ÇÍ 0 {'time': 0, 'add': 0, 'value': 0} 401.2ïb []
225 íl 36 Ç∏ÇÍ 0 {'time': 0, 'add': 0, 'value': 0} 325.7ïb []
226 íl 78 Ç∏ÇÍ 2 {'time': 0, 'add': 0, 'value': 2} 30.4ïb []
227 íl 36 Ç∏ÇÍ 0 {'time': 0, 'add': 0, 'value': 0} 9.0ïb []
228 íl 25 Ç∏ÇÍ 0 {'time': 0, 'add': 0, 'value': 0} 160.6ïb []
229 íl 25 Ç∏ÇÍ 0 {'time': 0, 'add': 0, 'value': 0} 102.0ïb []
230 íl 66 Ç∏ÇÍ 0 {'time': 0, 'add': 0, 'value': 0} 18.3ïb []
231 íl 63 Ç∏ÇÍ 20 {'time': 20, 'add': 0, 'value': 0} 105.0ïb []
232 íl 63 Ç∏ÇÍ 0 {'time': 0, 'add': 0, 'value': 0} 464.9ïb []
233 íl 69 Ç∏ÇÍ 0 {'time': 0, 'add': 0, 'value': 0} 82.4ïb []
234 íl 36 Ç∏ÇÍ 0 {'time': 0, 'add': 0, 'value': 0} 1479.2ïb []
235 íl 42 Ç∏ÇÍ 0 {'time': 0, 'add': 0, 'value': 0} 1070.5ïb []
236 íl 28 Ç∏ÇÍ 0 {'time': 0, 'add': 0, 'value': 0} 351.0ïb []
237 íl 409 Ç∏ÇÍ 0 {'time': 0, 'add': 0, 'value': 0} 203.0ïb []
238 íl 38 Ç∏ÇÍ 0 {'time': 0, 'add': 0, 'value': 0} 183.4ïb []
239 íl 25 Ç∏ÇÍ 14 {'time': 14, 'add': 0, 'value': 0} 322.1ïb []
èëÇ¢ÇΩ: D:\Claude\houdini\out\240_checks.json
