{'case': 'donut_4_off', 'scene': 'donut', 'spp': 4, 'denoiser': 'off', 'sec': 5.99, 'diff': 3.205, 'detail': 5.54}
{'case': 'donut_4_oidn', 'scene': 'donut', 'spp': 4, 'denoiser': 'oidn', 'sec': 6.25, 'diff': 1.951, 'detail': 2.925}
{'case': 'donut_4_optix', 'scene': 'donut', 'spp': 4, 'denoiser': 'optix', 'sec': 6.52, 'diff': 1.878, 'detail': 2.819}
{'case': 'donut_8_off', 'scene': 'donut', 'spp': 8, 'denoiser': 'off', 'sec': 11.33, 'diff': 2.236, 'detail': 4.457}
{'case': 'donut_8_oidn', 'scene': 'donut', 'spp': 8, 'denoiser': 'oidn', 'sec': 11.75, 'diff': 1.696, 'detail': 3.009}
{'case': 'donut_8_optix', 'scene': 'donut', 'spp': 8, 'denoiser': 'optix', 'sec': 11.84, 'diff': 1.626, 'detail': 2.895}
{'case': 'donut_16_off', 'scene': 'donut', 'spp': 16, 'denoiser': 'off', 'sec': 24.14, 'diff': 1.847, 'detail': 4.121}
{'case': 'donut_16_oidn', 'scene': 'donut', 'spp': 16, 'denoiser': 'oidn', 'sec': 23.88, 'diff': 1.507, 'detail': 3.023}
{'case': 'donut_16_optix', 'scene': 'donut', 'spp': 16, 'denoiser': 'optix', 'sec': 23.95, 'diff': 1.457, 'detail': 2.914}
{'case': 'donut_32_off', 'scene': 'donut', 'spp': 32, 'denoiser': 'off', 'sec': 32.87, 'diff': 1.755, 'detail': 4.13}
{'case': 'donut_32_oidn', 'scene': 'donut', 'spp': 32, 'denoiser': 'oidn', 'sec': 33.37, 'diff': 1.415, 'detail': 3.007}
{'case': 'donut_32_optix', 'scene': 'donut', 'spp': 32, 'denoiser': 'optix', 'sec': 33.22, 'diff': 1.381, 'detail': 2.916}
