{'case': 'snowman_4_off', 'scene': 'snowman', 'spp': 4, 'denoiser': 'off', 'sec': 5.07, 'diff': 3.334, 'detail': 5.081}
{'case': 'snowman_4_oidn', 'scene': 'snowman', 'spp': 4, 'denoiser': 'oidn', 'sec': 5.38, 'diff': 1.194, 'detail': 0.869}
{'case': 'snowman_4_optix', 'scene': 'snowman', 'spp': 4, 'denoiser': 'optix', 'sec': 5.5, 'diff': 1.143, 'detail': 0.821}
{'case': 'snowman_8_off', 'scene': 'snowman', 'spp': 8, 'denoiser': 'off', 'sec': 11.83, 'diff': 1.863, 'detail': 2.75}
{'case': 'snowman_8_oidn', 'scene': 'snowman', 'spp': 8, 'denoiser': 'oidn', 'sec': 12.14, 'diff': 1.148, 'detail': 0.861}
{'case': 'snowman_8_optix', 'scene': 'snowman', 'spp': 8, 'denoiser': 'optix', 'sec': 12.33, 'diff': 1.113, 'detail': 0.815}
{'case': 'snowman_16_off', 'scene': 'snowman', 'spp': 16, 'denoiser': 'off', 'sec': 26.39, 'diff': 1.426, 'detail': 1.987}
{'case': 'snowman_16_oidn', 'scene': 'snowman', 'spp': 16, 'denoiser': 'oidn', 'sec': 26.79, 'diff': 1.127, 'detail': 0.87}
{'case': 'snowman_16_optix', 'scene': 'snowman', 'spp': 16, 'denoiser': 'optix', 'sec': 26.7, 'diff': 1.094, 'detail': 0.817}
{'case': 'snowman_32_off', 'scene': 'snowman', 'spp': 32, 'denoiser': 'off', 'sec': 37.42, 'diff': 1.377, 'detail': 1.907}
{'case': 'snowman_32_oidn', 'scene': 'snowman', 'spp': 32, 'denoiser': 'oidn', 'sec': 37.54, 'diff': 1.118, 'detail': 0.878}
{'case': 'snowman_32_optix', 'scene': 'snowman', 'spp': 32, 'denoiser': 'optix', 'sec': 37.86, 'diff': 1.082, 'detail': 0.818}
