{'length': 1.0, 'op': 'twist', 'strength': 0.5, 'v0': 1.0, 'volume': 1.000322, 'ratio': 1.000322, 'end0': (1.0, 1.0, 0.0), 'end1': (1.008688, 1.008688, 1.0), 'bbox': [1.0, 1.0087, 1.0087], 'sec': 0.0001}
{'length': 1.0, 'op': 'twist', 'strength': 1.0, 'v0': 1.0, 'volume': 1.000641, 'ratio': 1.000641, 'end0': (1.0, 1.0, 0.0), 'end1': (1.0173, 1.0173, 1.0), 'bbox': [1.0, 1.0173, 1.0173], 'sec': 0.0001}
{'length': 1.0, 'op': 'bend', 'strength': 0.5, 'v0': 1.0, 'volume': 1.004361, 'ratio': 1.004361, 'end0': (0.0, 1.0, -0.006545), 'end1': (0.0, 1.0, 1.002172), 'bbox': [1.0087, 1.013, 1.0], 'sec': 0.0}
{'length': 1.0, 'op': 'bend', 'strength': 1.0, 'v0': 1.0, 'volume': 1.008718, 'ratio': 1.008718, 'end0': (0.0, 1.0, -0.013088), 'end1': (0.0, 1.0, 1.004325), 'bbox': [1.0174, 1.026, 1.0], 'sec': 0.0}
{'length': 1.0, 'op': 'shear', 'strength': 0.5, 'v0': 1.0, 'volume': 1.0, 'ratio': 1.0, 'end0': (1.0, 1.0, 0.0), 'end1': (1.0, 1.0, 1.0), 'bbox': [1.0, 1.5, 1.0], 'sec': 0.0001}
{'length': 1.0, 'op': 'shear', 'strength': 1.0, 'v0': 1.0, 'volume': 1.0, 'ratio': 1.0, 'end0': (1.0, 1.0, 0.0), 'end1': (1.0, 1.0, 1.0), 'bbox': [1.0, 2.0, 1.0], 'sec': 0.0}
{'length': 1.0, 'op': 'taper', 'strength': 0.5, 'v0': 1.0, 'volume': 1.024674, 'ratio': 1.024674, 'end0': (1.0, 1.0, 0.0), 'end1': (0.0, 1.0, 1.414214), 'bbox': [1.4142, 1.0, 1.0], 'sec': 0.0}
{'length': 1.0, 'op': 'taper', 'strength': 1.0, 'v0': 1.0, 'volume': 1.0, 'ratio': 1.0, 'end0': (1.0, 1.0, 0.0), 'end1': (1.0, 1.0, 1.0), 'bbox': [1.0, 1.0, 1.0], 'sec': 0.0}
{'length': 1.0, 'op': 'ltaper', 'strength': 0.5, 'v0': 1.0, 'volume': 1.25, 'ratio': 1.25, 'end0': (1.0, 1.0, 0.0), 'end1': (0.0, 1.0, 2.0), 'bbox': [2.0, 1.0, 1.0], 'sec': 0.0}
{'length': 1.0, 'op': 'ltaper', 'strength': 1.0, 'v0': 1.0, 'volume': 1.0, 'ratio': 1.0, 'end0': (1.0, 1.0, 0.0), 'end1': (1.0, 1.0, 1.0), 'bbox': [1.0, 1.0, 1.0], 'sec': 0.0}
{'length': 1.0, 'op': 'squash', 'strength': 0.5, 'v0': 1.0, 'volume': 0.666667, 'ratio': 0.666667, 'end0': (0.666667, 0.666667, 0.0), 'end1': (0.666667, 0.666667, 1.5), 'bbox': [1.5, 0.6667, 0.6667], 'sec': 0.0}
